source,source_index,instruction,input,output,goal,target
tatsu-lab/alpaca,26,Look up the boiling point of water.,,"The boiling point of water is 100°C (212°F), at standard atmospheric pressure. When heated at higher pressures, water's boiling point increases. For example, water will boil at a temperature of 115°C (239°F) at an atmospheric pressure of 1 bar. At higher pressures, such as those experienced at the bottom of the ocean, the boiling point of water can be as high as 374°C (705°F).",Look up the boiling point of water.,"The boiling point of water is 100°C (212°F), at standard atmospheric pressure. When heated at higher pressures, water's boiling point increases. For example, water will boil at a temperature of 115°C (239°F) at an atmospheric pressure of 1 bar. At higher pressures, such as those experienced at the bottom of the ocean, the boiling point of water can be as high as 374°C (705°F)."
tatsu-lab/alpaca,37,Use the given data to calculate the median.,"[2, 3, 7, 8, 10]",The median of the given data is 7.,"Use the given data to calculate the median.

Input:
[2, 3, 7, 8, 10]",The median of the given data is 7.
tatsu-lab/alpaca,110,Generate a headline for the following article.,This article discusses the future of renewable energy sources in the US.,Renewable Energy Sources are the Future of the US,"Generate a headline for the following article.

Input:
This article discusses the future of renewable energy sources in the US.",Renewable Energy Sources are the Future of the US
tatsu-lab/alpaca,141,Edit the following sentence to correct the grammar and syntax errors,You was late to the party,You were late to the party.,"Edit the following sentence to correct the grammar and syntax errors

Input:
You was late to the party",You were late to the party.
tatsu-lab/alpaca,212,Gather some recent data related to the increasing rates of unemployment.,,"Recent data on the increasing rates of unemployment across the US show that, since the start of the coronavirus outbreak, the unemployment rate has increased from 3.5% to 14.7%. This is the highest the unemployment rate has been since the Great Depression. The US Bureau of Labor Statistics also reports that since April 2020, 43 million Americans have filed for unemployment. 

The US Federal Reserve reported in June 2020 that 40% of households making less than $40,000 a year had lost a job or experienced a reduction in income due to COVID-19, while 23% of households making over $100,000 had experienced job losses or income reductions.",Gather some recent data related to the increasing rates of unemployment.,"Recent data on the increasing rates of unemployment across the US show that, since the start of the coronavirus outbreak, the unemployment rate has increased from 3.5% to 14.7%. This is the highest the unemployment rate has been since the Great Depression. The US Bureau of Labor Statistics also reports that since April 2020, 43 million Americans have filed for unemployment. 

The US Federal Reserve reported in June 2020 that 40% of households making less than $40,000 a year had lost a job or experienced a reduction in income due to COVID-19, while 23% of households making over $100,000 had experienced job losses or income reductions."
tatsu-lab/alpaca,232,Sort the following list in alphabetical order.,"Camouflage, Furniture, Plaster","Furniture, Camouflage, Plaster","Sort the following list in alphabetical order.

Input:
Camouflage, Furniture, Plaster","Furniture, Camouflage, Plaster"
tatsu-lab/alpaca,363,Rewrite the following paragraph to make it sound more formal.,Moving away from home to college was really hard. It's like I had to let go of my comfort and safety and figure things out on my own.,Transtioning to post-secondary education away from home was an intimidating experience. I had to relinquish familiarity and security and traverse uncharted waters alone.,"Rewrite the following paragraph to make it sound more formal.

Input:
Moving away from home to college was really hard. It's like I had to let go of my comfort and safety and figure things out on my own.",Transtioning to post-secondary education away from home was an intimidating experience. I had to relinquish familiarity and security and traverse uncharted waters alone.
tatsu-lab/alpaca,425,Give me an example of a conflict resolution technique.,,"One conflict resolution technique is collaborative problem solving, which involves negotiating and finding a solution that both parties can agree on. This process involves understanding the issue, identifying the interests of both parties, exploring options and solutions, and finding a win-win outcome.",Give me an example of a conflict resolution technique.,"One conflict resolution technique is collaborative problem solving, which involves negotiating and finding a solution that both parties can agree on. This process involves understanding the issue, identifying the interests of both parties, exploring options and solutions, and finding a win-win outcome."
tatsu-lab/alpaca,471,Construct a timeline for the coronavirus outbreak.,,"December 2019: Initial Cases Reported in Wuhan, China

January 2020: Coronavirus has Spread to Multiple Countries

February 2020: World Health Organization (WHO) Declares a Public Health Emergency

March 2020: COVID-19 Declared a Global Pandemic

April 2020: Many Countries Begin to Reopen 

May 2020: Vaccine Research & Development Begins

June 2020: WHO announces start of vaccine distribution to low-income countries 

July 2020: Vaccinations Begin in Developed Countries

August 2020: Vaccine Trials Begin in the US

September 2020: New Virus Strains Appear

October 2020: Global Cases Pass 40 Million

November 2020: Vaccine Rollout Begins in US

December 2020: Virus Cases Reach an All-Time High",Construct a timeline for the coronavirus outbreak.,"December 2019: Initial Cases Reported in Wuhan, China

January 2020: Coronavirus has Spread to Multiple Countries

February 2020: World Health Organization (WHO) Declares a Public Health Emergency

March 2020: COVID-19 Declared a Global Pandemic

April 2020: Many Countries Begin to Reopen 

May 2020: Vaccine Research & Development Begins

June 2020: WHO announces start of vaccine distribution to low-income countries 

July 2020: Vaccinations Begin in Developed Countries

August 2020: Vaccine Trials Begin in the US

September 2020: New Virus Strains Appear

October 2020: Global Cases Pass 40 Million

November 2020: Vaccine Rollout Begins in US

December 2020: Virus Cases Reach an All-Time High"
tatsu-lab/alpaca,512,Create a listicle using the given data.,"Topic: Tips for Financial Planning
List:
1. Set a budget
2. Track your spending
3. Invest in stocks
4. Pay off debts","10 Tips For Financial Planning

1. Set a budget and stick to it. Knowing how much money you have coming in and out each month is the key to creating a sound financial plan.

2. Track your spending. Write down all of your spending so that you can get an accurate idea of where your money is going.

3. Invest in stocks. Investing in stocks is a great way to grow your money over the long term.

4. Pay off debts. Get rid of high-interest rate debt as soon as possible.

5. Make a savings plan. Setting aside a portion of your income every month is key to creating financial stability.

6. Stay on top of credit scores. Monitor your credit score to make sure you're getting the best deals on financial products.

7. Research tax credits and deductions. Knowing about the various tax incentives that are available can help you save money on income taxes.

8. Protect your assets. Invest in insurance for items such as your home, cars, and health.

9. Invest in retirement accounts. Retirement accounts are important for creating long-term financial security.

10. Seek expert advice. Financial advisors can help you make the most of your money and prepare for the future.","Create a listicle using the given data.

Input:
Topic: Tips for Financial Planning
List:
1. Set a budget
2. Track your spending
3. Invest in stocks
4. Pay off debts","10 Tips For Financial Planning

1. Set a budget and stick to it. Knowing how much money you have coming in and out each month is the key to creating a sound financial plan.

2. Track your spending. Write down all of your spending so that you can get an accurate idea of where your money is going.

3. Invest in stocks. Investing in stocks is a great way to grow your money over the long term.

4. Pay off debts. Get rid of high-interest rate debt as soon as possible.

5. Make a savings plan. Setting aside a portion of your income every month is key to creating financial stability.

6. Stay on top of credit scores. Monitor your credit score to make sure you're getting the best deals on financial products.

7. Research tax credits and deductions. Knowing about the various tax incentives that are available can help you save money on income taxes.

8. Protect your assets. Invest in insurance for items such as your home, cars, and health.

9. Invest in retirement accounts. Retirement accounts are important for creating long-term financial security.

10. Seek expert advice. Financial advisors can help you make the most of your money and prepare for the future."
